Id,Station,Address,Latitude,Longitude
240,Bentham,"Bentham, North Yorkshire LA2, UK",54.1180014,-2.5090175
241,Bentley,"Bentley, South Yorkshire, UK",53.5476953,-1.1454921
242,Bentley (S. Yorks),"Bentley, South Yorkshire, UK",53.5476953,-1.1454921
243,Bere Alston,"Bere Alston, Devon PL20, UK",50.481561,-4.186218
244,Bere Ferrers,"Bere Ferrers, Devon PL20, UK",50.451308,-4.171239
245,Berkhamsted,"Berkhamsted, Hertfordshire, UK",51.759766,-0.5678569
246,Berkswell,"Berkswell, West Midlands CV7, UK",52.4096959,-1.639577
247,Bermondsey,"Bermondsey, London SE16, UK",51.4985821,-0.0691276
248,Berney Arms,"Berney Arms, Burgh Castle, Norfolk NR30, UK",52.58926,1.6322509
249,Berry Brow,"Berry Brow, Huddersfield, West Yorkshire HD4, UK",53.6249449,-1.792133
250,Berrylands,"Berrylands, Kingston upon Thames, Greater London KT5, UK",51.3990427,-0.2806909
251,Berwick (Sussex),"Berwick (Sussex), Polegate, East Sussex BN26, UK",50.8403713,0.1660452
252,Berwick-Upon-Tweed,"Berwick-upon-Tweed, Northumberland, UK",55.770242,-2.005395
253,Bescar Lane,"Bescar Lane, Scarisbrick, Lancashire L40, UK",53.6238667,-2.9146097
254,Bescot Stadium,"Bescot Stadium, Wednesbury, West Midlands WS1, UK",52.563107,-1.9911
255,Betchworth,"Betchworth, Surrey, UK",51.240523,-0.267364
256,Bethnal Green,"Bethnal Green, London E2, UK",51.5269736,-0.0667204
257,Bethnal Green (Underground),"Bethnal Green, London E2, UK",51.5269736,-0.0667204
258,Betws-y-Coed,"Betws-y-Coed, Conwy LL24, UK",53.089918,-3.80065
259,Beverley,"Beverley, East Riding of Yorkshire HU17, UK",53.841963,-0.435093
260,Bexhill,"Bexhill, East Sussex, UK",50.851292,0.457048
261,Bexley,"Bexley, Greater London, UK",51.439933,0.154327
262,Bexleyheath,"Bexleyheath, Greater London, UK",51.453341,0.13822
263,Bicester North,"Bicester North, Bicester, Oxfordshire OX26, UK",51.903489,-1.1503638
264,Bicester Town,"Bicester, Oxfordshire, UK",51.899603,-1.1535899
265,Bickley,"Bickley, Bromley, Greater London BR1, UK",51.401857,0.052503
266,Bidston,"Bidston, Birkenhead, Merseyside CH43, UK",53.402125,-3.078337
267,Biggleswade,"Biggleswade, Central Bedfordshire, UK",52.086938,-0.26422
268,Bilbrook,"Bilbrook, Staffordshire, UK",52.63519,-2.1515689
269,Billericay,"Billericay, Essex, UK",51.627903,0.418397
270,Billingham,"Billingham, Stockton-on-Tees, UK",54.612537,-1.290961
271,Billingshurst,"Billingshurst, West Sussex RH14, UK",51.022909,-0.451462
272,Bingham,"Bingham, Nottinghamshire NG13, UK",52.951088,-0.956144
273,Bingley,"Bingley, West Yorkshire, UK",53.847389,-1.833781
274,Birchgrove,"Birchgrove NSW 2041, Australia",-33.8530103,151.1814297
275,Birchington-On-Sea,"Birchington, Kent, UK",51.373347,1.306532
276,Birchwood,"Birchwood, Warrington, UK",53.416602,-2.523856
277,Birkbeck,"Birkbeck, Beckenham, Greater London BR3, UK",51.4038889,-0.0557124
278,Birkdale,"Birkdale, North Yorkshire DL11, UK",54.406371,-2.2272429
279,Birkenhead Central,"Birkenhead Central, Birkenhead, Merseyside CH41, UK",53.3883288,-3.0208204
280,Birkenhead Hamilton Square,"Birkenhead Hamilton Square, Birkenhead, Merseyside CH41, UK",53.3947091,-3.0136794
281,Birkenhead North,"Birkenhead North, Birkenhead, Merseyside CH41, UK",53.4044504,-3.0575319
282,Birkenhead Park,"Birkenhead Park, Birkenhead, Merseyside CH41, UK",53.397421,-3.0391
283,Birmingham Bordesley,"Bordesley, Birmingham, West Midlands B9, UK",52.4757763,-1.8751346
284,Birmingham International,"Birmingham International, Birmingham, West Midlands B40, UK",52.4508199,-1.7258496
285,Birmingham Moor Street,"Birmingham Moor Street, Birmingham, West Midlands B4, UK",52.4790921,-1.8924676
286,Birmingham New Street,"Birmingham New Street, Birmingham, West Midlands B5, UK",52.4777938,-1.89836
287,Birmingham Snow Hill,"Birmingham Snow Hill, Birmingham, West Midlands B3, UK",52.4833682,-1.8990834
288,Birmingham Snow Hill (Tram),"Birmingham, West Midlands, UK",52.486243,-1.890401
289,Bishop Auckland,"Bishop Auckland, County Durham, UK",54.663822,-1.678788
290,Bishopbriggs,"Bishopbriggs, East Dunbartonshire, UK",55.904185,-4.228494
291,Bishopstone,"Bishopstone, East Sussex BN25, UK",50.7902284,0.0886266
292,Bishopton,"Bishopton, Renfrewshire PA7, UK",55.908622,-4.50452
293,Bitterne,"Bitterne, Southampton SO18, UK",50.916606,-1.356652
294,Blackburn,"Blackburn, Blackburn with Darwen, UK",53.748575,-2.487529
295,Blackfriars,"London Blackfriars, London EC4V, UK",51.5118096,-0.1033063
296,Blackheath,"Blackheath NSW 2785, Australia",-33.6356669,150.2853372
297,Blackhorse Lane,"Blackhorse Lane, London E17 6HJ, UK",51.5930335,-0.0400656
298,Blackhorse Road,"Blackhorse Road, London E17, UK",51.58692,-0.04112
299,Black Lake,"Black Lake, Tittensor, Staffordshire ST4, UK",52.9531194,-2.2155825
300,Blackpool North,"Blackpool North, Blackpool FY1, UK",53.8219273,-3.0492706
301,Blackpool Pleasure Beach,"Blackpool Pleasure Beach, 525 Ocean Blvd, Blackpool, Lancashire FY4 1EZ, UK",53.79233,-3.0552927
302,Blackpool South,"Blackpool South, Blackpool FY4, UK",53.7987135,-3.0489346
303,Blackridge,"Blackridge, West Lothian EH48, UK",55.885995,-3.774297
304,Blackrod,"Blackrod, UK",53.5873599,-2.57864
305,Blackwall,"Blackwall, Poplar, London E14, UK",51.50799,-0.00694
306,Blackwater,"Blackwater QLD 4717, Australia",-23.5755145,148.8886132
307,Blaenau Ffestiniog,"Blaenau Ffestiniog, Gwynedd LL41, UK",52.998337,-3.944894
308,Blair Atholl,"Blair Atholl, Perth and Kinross PH18, UK",56.768184,-3.843385
309,Blakedown,"Blakedown, Worcestershire, UK",52.403886,-2.179618
310,Blake Street,"Blake Street, Sutton Coldfield, West Midlands B74, UK",52.6048991,-1.8449075
311,Blantyre,"Blantyre, South Lanarkshire, UK",55.793868,-4.09492
312,Blaydon,"Blaydon, Tyne and Wear NE21, UK",54.962993,-1.71867
313,Bleasby,"Bleasby, Nottinghamshire NG14, UK",53.037614,-0.934305
314,Bletchley,"Bletchley, Milton Keynes, UK",52.002175,-0.750137
315,Bloxwich,"Bloxwich, Walsall, West Midlands, UK",52.6150309,-2.0009708
316,Bloxwich North,"Bloxwich North, Walsall, West Midlands WS3, UK",52.6254506,-2.0176784
317,Blundellsands & Crosby,"Blundellsands & Crosby, Waterloo, Merseyside L23, UK",53.4876981,-3.0398575
318,Blythe Bridge,"Blythe Bridge, Staffordshire, UK",52.969189,-2.072085
319,Bodmin Parkway,"Bodmin Parkway, Bodmin, Cornwall PL30, UK",50.4458497,-4.6629673
320,Bodorgan,"Bodorgan, Isle of Anglesey LL62, UK",53.1788254,-4.4166384
321,Bognor Regis,"Bognor Regis, West Sussex, UK",50.782998,-0.673061
322,Bogston,"Bogston, Greenock, Inverclyde PA15, UK",55.9370337,-4.7113813
323,Bolton,"Bolton, UK",53.584441,-2.428619
324,Bolton-On-Dearne,"Bolton upon Dearne, South Yorkshire, UK",53.518834,-1.316327
325,Bond Street,"Bond Street, London W1C, UK",51.51431,-0.1497
326,Bookham,"Great Bookham, Surrey, UK",51.2783826,-0.3733532
