Id,Year,Activity,Refrigerated,PercentLaden,HGVType,MinWeight,Unit,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
113,2013,HGV,TRUE,0,Articulated,33,km,0.84718478,0.836352,0.00063,0.01020278,0.181944
114,2013,HGV,TRUE,0,Articulated,33,miles,1.363411742,1.345978073,0.001013887,0.016419783,
115,2013,HGV,TRUE,0,Articulated,-1,TonneKm,,,,,
116,2013,HGV,TRUE,0,Articulated,-1,km,,,,,
117,2013,HGV,TRUE,0,Articulated,-1,miles,,,,,
118,2013,HGV,TRUE,0,All,-1,TonneKm,,,,,
119,2013,HGV,TRUE,0,All,-1,km,,,,,
120,2013,HGV,TRUE,0,All,-1,miles,,,,,
121,2013,HGV,TRUE,50,Rigid,3.5,TonneKm,0.647662,0.641952,0.0002,0.00551,0.138984
122,2013,HGV,TRUE,50,Rigid,3.5,km,0.712648392,0.706368,0.000220392,0.00606,0.152928
123,2013,HGV,TRUE,50,Rigid,3.5,miles,1.146896413,1.136789103,0.000354686,0.009752625,
124,2013,HGV,TRUE,50,Rigid,7.5,TonneKm,0.339268,0.336348,0.0001,0.00282,0.072804
125,2013,HGV,TRUE,50,Rigid,7.5,km,0.895959251,0.888228,0.000271251,0.00746,0.192252
126,2013,HGV,TRUE,50,Rigid,7.5,miles,1.441906646,1.429464402,0.000436537,0.012005706,
127,2013,HGV,TRUE,50,Rigid,17,TonneKm,0.245222,0.243012,0.00008,0.00213,0.05262
128,2013,HGV,TRUE,50,Rigid,17,km,1.150031211,1.139688,0.000363211,0.00998,0.246792
129,2013,HGV,TRUE,50,Rigid,17,miles,1.850795829,1.834150045,0.000584531,0.016061253,
130,2013,HGV,TRUE,50,Rigid,-1,TonneKm,,,,,
131,2013,HGV,TRUE,50,Rigid,-1,km,,,,,
132,2013,HGV,TRUE,50,Rigid,-1,miles,,,,,
133,2013,HGV,TRUE,50,Articulated,3.5,TonneKm,0.174482,0.172932,0.00009,0.00146,0.03744
134,2013,HGV,TRUE,50,Articulated,3.5,km,1.092565762,1.08288,0.000563293,0.009122468,0.234456
135,2013,HGV,TRUE,50,Articulated,3.5,miles,1.758314153,1.742726431,0.000906532,0.01468119,
136,2013,HGV,TRUE,50,Articulated,33,TonneKm,0.1185,0.11736,0.00007,0.00107,0.025428
137,2013,HGV,TRUE,50,Articulated,33,km,1.12596878,1.115136,0.00063,0.01020278,0.241656
138,2013,HGV,TRUE,50,Articulated,33,miles,1.8120711,1.794637431,0.001013887,0.016419783,
139,2013,HGV,TRUE,50,Articulated,-1,TonneKm,,,,,
140,2013,HGV,TRUE,50,Articulated,-1,km,,,,,
141,2013,HGV,TRUE,50,Articulated,-1,miles,,,,,
142,2013,HGV,TRUE,50,All,-1,TonneKm,,,,,
143,2013,HGV,TRUE,50,All,-1,km,,,,,
144,2013,HGV,TRUE,50,All,-1,miles,,,,,
145,2013,HGV,TRUE,100,Rigid,3.5,TonneKm,0.349506,0.346656,0.0001,0.00275,0.074988
146,2013,HGV,TRUE,100,Rigid,3.5,km,0.769156392,0.762876,0.000220392,0.00606,0.165036
147,2013,HGV,TRUE,100,Rigid,3.5,miles,1.237837224,1.227729913,0.000354686,0.009752625,
148,2013,HGV,TRUE,100,Rigid,7.5,TonneKm,0.190652,0.189192,0.00005,0.00141,0.040908
149,2013,HGV,TRUE,100,Rigid,7.5,km,1.006983251,0.999252,0.000271251,0.00746,0.216036
150,2013,HGV,TRUE,100,Rigid,7.5,miles,1.620582454,1.608140211,0.000436537,0.012005706,
151,2013,HGV,TRUE,100,Rigid,17,TonneKm,0.144476,0.143376,0.00004,0.00106,0.030996
152,2013,HGV,TRUE,100,Rigid,17,km,1.355171211,1.344828,0.000363211,0.00998,0.290736
153,2013,HGV,TRUE,100,Rigid,17,miles,2.180936657,2.164290873,0.000584531,0.016061253,
154,2013,HGV,TRUE,100,Rigid,-1,TonneKm,,,,,
155,2013,HGV,TRUE,100,Rigid,-1,km,,,,,
156,2013,HGV,TRUE,100,Rigid,-1,miles,,,,,
157,2013,HGV,TRUE,100,Articulated,3.5,TonneKm,0.104534,0.103764,0.00004,0.00073,0.022428
158,2013,HGV,TRUE,100,Articulated,3.5,km,1.309141762,1.299456,0.000563293,0.009122468,0.280848
159,2013,HGV,TRUE,100,Articulated,3.5,miles,2.106859439,2.091271717,0.000906532,0.01468119,
160,2013,HGV,TRUE,100,Articulated,33,TonneKm,0.073926,0.073356,0.00003,0.00054,0.015864
161,2013,HGV,TRUE,100,Articulated,33,km,1.40475278,1.39392,0.00063,0.01020278,0.30138
162,2013,HGV,TRUE,100,Articulated,33,miles,2.260730458,2.243296788,0.001013887,0.016419783,
163,2013,HGV,TRUE,100,Articulated,-1,TonneKm,,,,,
164,2013,HGV,TRUE,100,Articulated,-1,km,,,,,
165,2013,HGV,TRUE,100,Articulated,-1,miles,,,,,
166,2013,HGV,TRUE,100,All,-1,TonneKm,,,,,
167,2013,HGV,TRUE,100,All,-1,km,,,,,
168,2013,HGV,TRUE,100,All,-1,miles,,,,,
169,2013,HGV,TRUE,Average,Rigid,3.5,TonneKm,0.69951,0.6933,0.00022,0.00599,0.150108
170,2013,HGV,TRUE,Average,Rigid,3.5,km,0.708124392,0.701844,0.000220392,0.00606,0.151956
171,2013,HGV,TRUE,Average,Rigid,3.5,miles,1.139615741,1.12950843,0.000354686,0.009752625,
172,2013,HGV,TRUE,Average,Rigid,7.5,TonneKm,0.423114,0.419364,0.00013,0.00362,0.090792
173,2013,HGV,TRUE,Average,Rigid,7.5,km,0.871539251,0.863808,0.000271251,0.00746,0.18702
174,2013,HGV,TRUE,Average,Rigid,7.5,miles,1.402606465,1.390164222,0.000436537,0.012005706,
175,2013,HGV,TRUE,Average,Rigid,17,TonneKm,0.229824,0.227784,0.00007,0.00197,0.04932
176,2013,HGV,TRUE,Average,Rigid,17,km,1.166999211,1.156656,0.000363211,0.00998,0.250428
177,2013,HGV,TRUE,Average,Rigid,17,miles,1.878103178,1.861457394,0.000584531,0.016061253,
178,2013,HGV,TRUE,Average,Rigid,-1,TonneKm,0.297026,0.294396,0.00009,0.00254,0.063744
179,2013,HGV,TRUE,Average,Rigid,-1,km,0.996034,0.987204,0.00031,0.00852,0.213744
180,2013,HGV,TRUE,Average,Rigid,-1,miles,1.602961342,1.588750834,0.000498897,0.013711611,
181,2013,HGV,TRUE,Average,Articulated,3.5,TonneKm,0.193556,0.191796,0.0001,0.00166,0.041532
182,2013,HGV,TRUE,Average,Articulated,3.5,km,1.066573762,1.056888,0.000563293,0.009122468,0.228888
183,2013,HGV,TRUE,Average,Articulated,3.5,miles,1.716484084,1.700896361,0.000906532,0.01468119,
184,2013,HGV,TRUE,Average,Articulated,33,TonneKm,0.10124,0.10032,0.00005,0.00087,0.021732
185,2013,HGV,TRUE,Average,Articulated,33,km,1.19288078,1.182048,0.00063,0.01020278,0.255996
186,2013,HGV,TRUE,Average,Articulated,33,miles,1.919755526,1.902321857,0.001013887,0.016419783,
187,2013,HGV,TRUE,Average,Articulated,-1,TonneKm,0.105456,0.104496,0.00006,0.0009,0.022632
188,2013,HGV,TRUE,Average,Articulated,-1,km,1.192878,1.182048,0.00063,0.0102,0.255996
189,2013,HGV,TRUE,Average,Articulated,-1,miles,1.919751052,1.902321857,0.001013887,0.016415309,
190,2013,HGV,TRUE,Average,All,-1,TonneKm,0.147624,0.145644,0.00008,0.0019,0.031704
191,2013,HGV,TRUE,Average,All,-1,km,1.087226,1.077456,0.00047,0.0093,0.233316
192,2013,HGV,TRUE,Average,All,-1,miles,1.74972064,1.733997349,0.000756392,0.014966899,
